1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
18 17 18 19 20 21 22 23 24 25 26 27 28 23 23 5  20
14 10 24 13 4  29 6  30 8  11 31 19 23 32 33 34 16
27 35 5  29 26 32 12 36 11 37 38 28 39 16 11 10 20
40 41 42 24 1  8  16 43 10 3  4  27 44 13 7  14 11
6  45 46 33 47 48 28 9  49 3  12 23 23 45 19 25 50
1  14 16 5  51 15 4  36 43 10 6  23 31 13 39 52 23
8  34 27 38 35 11 37 16 19 44 53 9  53 13 21 42 8
1  11 23 22 49 4  23 16 11 34 6  54 19 55 5  56 21
11 15 30 2  16 43 45 50 10 31 28 40 51 57 12 23 55
26 35 37 13 58 19 47 59 42 21 60 27 54 1  4  6  31
18 8  3  20 23 22 49 29 7  21 61 35 5  45 49 11 30
32 50 33 3  51 45 23 3  36 36 24 16 10 27 20 56 37
42 59 13 18 53 25 37 41 34 24 39 3  49 26 23 45 17
8  38 23 2  43 19 5  55 21 10 9  11 13 23 19 12 25
5  10 3  30 16 13 27 57 23 20 50 34 3  14 42 19 44
1  5  62 11 15 16 28 38 58 52 4  54 11 48 32 7  24
39 26 21 16 41 11 44 28 54 10 7  6  51 9  38 30 14
27 11 7  3  50 28 13 19 8  10 16 17 59 18 31 13 56
19 40 12 14 20 23 23 5  44 44 29 2  52 8  21 30 50
