1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
4  8  18 19 19 20 10 16 21 22 13 23 24 25 12 13 26
27 28 13 29 26 30 9  31 32 33 34 35 36 6  11 37 38
39 23 1  18 40 41 42 43 13 2  24 15 4  2  2  10 8
44 45 26 17 3  46 4  47 32 21 19 16 35 14 40 48 9
39 41 8  1  19 27 10 49 25 16 23 50 2  11 7  51 52
5  53 46 20 12 44 11 26 11 54 11 6  15 8  39 26 17
55 28 9  23 24 6  54 17 34 35 43 4  56 32 22 45 39
41 46 31 57 19 6  14 58 3  10 16 16 9  23 30 14 37
11 5  55 17 33 11 47 2  26 3  25 35 13 25 11 59 12
51 6  46 41 21 15 17 34 58 35 27 8  19 8  9  19 2
4  28 24 49 7  45 23 26 22 39 6  30 53 60 41 61 2
29 22 27 38 17 5  5  22 26 61 39 18 46 33 16 14 34
45 36 10 43 41 8  30 11 62 48 44 11 35 56 2  47 26
19 39 11 20 21 6  41 14 20 17 3  29 40 25 13 58 35
9  12 26 49 39 16 8  53 8  30 44 3  43 47 15 5  24
32 6  14 35 22 20 33 19 28 16 47 8  41 19 16 21 8
42 14 34 50 2  4  10 26 19 10 41 23 25 33 32 12 47
6  15 11 5  2  17 16 28 8  19 6  26 49 52 46 14 50
20 21 39 51 27 14 16 52 41 57 9  19 7  11 4  41 16
