1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17
18 19 20 21 3  22 23 2  9  9  10 2  24 25 19 18 26
1  12 27 6  28 20 29 19 30 20 31 32 29 33 3  34 9
2  6  32 34 2  1  9  4  35 36 6  10 37 38 39 40 41
42 17 13 27 43 44 45 1  46 7  9  2  47 24 6  22 44
48 49 21 42 27 1  32 50 41 42 7  11 8  37 2  51 34
37 7  27 44 1  6  52 43 42 16 40 53 51 54 37 32 39
24 2  34 15 31 3  1  40 19 9  55 53 31 42 17 27 1
28 3  22 20 29 38 55 4  25 35 7  8  49 52 10 18 52
19 5  44 13 56 31 2  38 37 6  33 3  21 41 7  42 2
16 9  8  39 27 6  26 1  42 32 52 4  27 57 34 1  2
55 58 27 6  42 41 2  23 40 13 53 1  7  16 22 42 4
37 59 56 17 47 10 21 38 60 32 50 61 7  8  59 37 44
34 52 44 7  12 20 25 36 12 9  58 13 15 14 40 10 38
27 53 9  62 16 5  53 44 6  42 35 26 50 15 18 28 31
9  29 50 7  4  27 27 56 1  26 2  59 44 17 8  61 46
15 28 21 34 29 40 12 1  36 20 27 51 3  53 17 10 7
1  39 50 42 27 15 11 60 43 21 49 43 20 23 30 30 6
59 13 34 49 16 52 2  44 38 18 12 22 31 40 3  41 53
48 54 43 2  6  28 10 17 1  38 34 18 19 2  7  4  40
